,MAE
395,0.19025898
396,0.19025898
397,0.19025898
398,0.19025898
399,0.19025898
400,0.19025898
401,0.19025898
402,0.19025898
403,0.19025898
404,0.19025898
405,0.19025898
406,0.19025898
407,0.19025898
408,0.19025898
409,0.19025898
410,0.19025898
411,0.19025898
412,0.19025898
413,0.19025898
414,0.19025898
415,0.19025898
416,0.19025898
417,0.19025898
418,0.19025898
419,0.19025898
420,0.19025898
421,0.19025898
422,0.19025898
423,0.19025898
424,0.19025898
425,0.19025898
426,0.19025898
427,0.19025898
428,0.19025898
429,0.19025898
430,0.19025898
431,0.19025898
432,0.19025898
433,0.19025898
434,0.19025898
435,0.19025898
436,0.19025898
437,0.19025898
438,0.19025898
439,0.19025898
440,0.19025898
441,0.19025898
442,0.19025898
443,0.19025898
444,0.19025898
445,0.19025898
446,0.19025898
447,0.19025898
448,0.19025898
449,0.19025898
450,0.19025898
451,0.19025898
452,0.19025898
453,0.19025898
454,0.19025898
455,0.19025898
456,0.19025898
457,0.19025898
458,0.19025898
459,0.19025898
460,0.19025898
461,0.19025898
462,0.19025898
463,0.19025898
464,0.19025898
465,0.19025898
466,0.19025898
467,0.19025898
468,0.19025898
469,0.19025898
470,0.19025898
471,0.19025898
472,0.19025898
473,0.19025898
474,0.19025898
475,0.19025898
476,0.19025898
477,0.19025898
478,0.19025898
479,0.19025898
480,0.19025898
481,0.19025898
482,0.19025898
483,0.19025898
484,0.19025898
485,0.19025898
486,0.19025898
487,0.19025898
488,0.19025898
489,0.19025898
490,0.19025898
491,0.19025898
492,0.19025898
493,0.19025898
494,0.19025898
495,0.19025898
496,0.19025898
497,0.19025898
498,0.19025898
499,0.19025898
500,0.19025898
501,0.19025898
502,0.19025898
503,0.19025898
504,0.19025898
505,0.19025898
506,0.19025898
507,0.19025898
508,0.19025898
509,0.19025898
510,0.19025898
511,0.19025898
512,0.19025898
513,0.19025898
514,0.19025898
515,0.19025898
516,0.19025898
517,0.19025898
518,0.19025898
519,0.19025898
520,0.19025898
521,0.19025898
522,0.19025898
523,0.19025898
524,0.19025898
525,0.19025898
526,0.19025898
527,0.19025898
528,0.19025898
529,0.19025898
530,0.19025898
531,0.19025898
532,0.19025898
533,0.19025898
534,0.19025898
535,0.19025898
536,0.19025898
537,0.19025898
538,0.19025898
539,0.19025898
540,0.19025898
541,0.19025898
542,0.19025898
543,0.19025898
544,0.19025898
545,0.19025898
546,0.19025898
547,0.19025898
548,0.19025898
549,0.19025898
550,0.19025898
551,0.19025898
552,0.19025898
553,0.19025898
554,0.19025898
555,0.19025898
556,0.19025898
557,0.19025898
558,0.19025898
559,0.19025898
560,0.19025898
561,0.19025898
562,0.19025898
563,0.19025898
564,0.19025898
565,0.19025898
566,0.19025898
567,0.19025898
568,0.19025898
569,0.19025898
570,0.19025898
571,0.19025898
572,0.19025898
573,0.19025898
574,0.19025898
575,0.19025898
576,0.19025898
577,0.19025898
578,0.19025898
579,0.19025898
580,0.19025898
581,0.19025898
582,0.19025898
583,0.19025898
584,0.19025898
585,0.19025898
