,MAE
397,0.18209311
398,0.18219492
399,0.18223701
400,0.18231905
401,0.1823621
402,0.18247287
403,0.18255205
404,0.1826724
405,0.18281934
406,0.18282883
407,0.18299092
408,0.18303514
409,0.18307447
410,0.18308581
411,0.18309553
412,0.18311647
413,0.18314205
414,0.18322828
415,0.18334377
416,0.18334536
417,0.18344334
418,0.1834711
419,0.18364829
420,0.18367866
421,0.1837686
422,0.18385577
423,0.183894
424,0.18393639
425,0.18394881
426,0.18396944
427,0.18412912
428,0.1841825
429,0.18425047
430,0.18431008
431,0.18436792
432,0.1844975
433,0.1845111
434,0.18466161
435,0.1846764
436,0.18473616
437,0.18483537
438,0.1848383
439,0.18484293
440,0.18487662
441,0.18492611
442,0.18509994
443,0.185166
444,0.18516718
445,0.1851979
446,0.18523891
447,0.18537217
448,0.1856446
449,0.18568608
450,0.185901
451,0.1860448
452,0.18608715
453,0.18612853
454,0.18627383
455,0.18651037
456,0.18655987
457,0.18659158
458,0.1866716
459,0.1867843
460,0.18688522
461,0.18692765
462,0.18697649
463,0.18712722
464,0.18716346
465,0.1871831
466,0.18731466
467,0.18733498
468,0.18744
469,0.18752608
470,0.18758531
471,0.18763514
472,0.18763837
473,0.18771061
474,0.1877425
475,0.18774265
476,0.18781647
477,0.18790694
478,0.1880312
479,0.18810892
480,0.18824725
481,0.18828036
482,0.18831415
483,0.18852729
484,0.18855822
485,0.18858126
486,0.18859875
487,0.18865098
488,0.18884979
489,0.18885729
490,0.18886267
491,0.18890887
492,0.18896481
493,0.18898436
494,0.18905379
495,0.18916303
496,0.18920642
497,0.18934502
498,0.18943794
499,0.189456
500,0.18951704
501,0.18952759
502,0.18959351
503,0.18960525
504,0.18963458
505,0.18965217
506,0.18980166
507,0.18985933
508,0.18986128
509,0.18986897
510,0.18987513
511,0.18992144
512,0.18998893
513,0.19010931
514,0.19011594
515,0.19017553
516,0.19018637
517,0.19020042
518,0.19020152
519,0.19025691
520,0.19029419
521,0.1903663
522,0.19072315
523,0.19100517
524,0.19105822
525,0.19108295
526,0.19113672
527,0.19123356
528,0.19127151
529,0.191342
530,0.19136032
531,0.19139123
532,0.1914822
533,0.19149089
534,0.19151905
535,0.1915609
536,0.1916187
537,0.1917232
538,0.19177291
539,0.19179465
540,0.1918329
541,0.19186799
542,0.1918849
543,0.19192734
544,0.1919367
545,0.19197504
546,0.19201285
547,0.19203222
548,0.19203526
549,0.19203681
550,0.19211714
551,0.19212934
552,0.19228534
553,0.19230425
554,0.19231705
555,0.19238947
556,0.19246987
557,0.19260173
558,0.1926457
559,0.19278811
560,0.1929611
561,0.19307145
562,0.19317394
563,0.19330516
564,0.19332702
565,0.19334859
566,0.19347112
567,0.19353831
568,0.19355795
569,0.19358388
570,0.19361717
571,0.1936997
572,0.19370562
573,0.19374786
574,0.19388348
575,0.193949
576,0.19403733
577,0.19404109
578,0.19417
579,0.19420817
580,0.19432889
581,0.1943853
582,0.19444916
583,0.19446361
584,0.19446367
585,0.19459179
586,0.19463979
587,0.19469735
588,0.19483268
589,0.19486545
590,0.19488432
591,0.19489992
592,0.19493905
593,0.1952924
594,0.19539751
595,0.19541289
596,0.19543323
597,0.19545816
598,0.19550878
599,0.19555384
600,0.19574109
601,0.19586292
602,0.19587292
603,0.19596061
604,0.19600032
605,0.19604144
606,0.1960955
607,0.19611418
608,0.19615608
609,0.19622004
610,0.19632687
611,0.19637059
612,0.19639127
613,0.19644453
614,0.19650435
615,0.19655165
616,0.19656864
617,0.19659999
618,0.1966019
619,0.1968962
620,0.19690236
621,0.19710591
622,0.19713707
623,0.197179
624,0.19725637
625,0.19733317
626,0.1973469
627,0.19736026
628,0.19737808
629,0.1974048
630,0.19740811
631,0.197415
632,0.19760151
633,0.19766334
634,0.1977325
635,0.19774824
636,0.1980523
637,0.19816115
638,0.19841406
639,0.19849125
640,0.1986235
641,0.19881241
642,0.19893944
643,0.19895586
644,0.19914916
645,0.19928402
646,0.19962788
647,0.19964704
648,0.19969262
649,0.19972236
650,0.19980006
651,0.20003387
652,0.20008852
653,0.2002478
654,0.20039126
655,0.20042267
656,0.20063338
657,0.20069249
658,0.2007101
659,0.20083329
660,0.20086913
661,0.20087135
662,0.20091352
663,0.2010281
664,0.20115523
665,0.20127232
666,0.2017928
667,0.20195425
668,0.20198226
669,0.20228988
670,0.20236681
671,0.20240526
672,0.20304073
673,0.2030451
674,0.20306388
675,0.20344232
676,0.20356843
677,0.20358025
678,0.20359467
679,0.20413749
680,0.20414174
681,0.20428868
682,0.20446877
683,0.20505545
684,0.20568566
685,0.20578551
686,0.20620246
687,0.20626822
688,0.20631267
689,0.20677586
690,0.20694554
691,0.207023
692,0.20709062
693,0.2072583
694,0.20738064
695,0.2075345
696,0.20786248
697,0.20789337
698,0.20816942
699,0.20857458
700,0.20867863
701,0.2088548
702,0.21290931
703,0.2130312
704,0.21316278
705,0.21385206
706,0.2140768
707,0.21445407
708,0.21474323
709,0.214827
710,0.21549806
711,0.21555425
712,0.21582869
713,0.22066344
714,0.22182956
715,0.2233392
716,0.223891
717,0.22463046
718,0.22563612
719,0.22593172
720,0.22600695
721,0.22653566
722,0.22658263
723,0.2270741
724,0.22713113
725,0.22739121
726,0.22779128
727,0.2280054
728,0.2280994
729,0.22811626
730,0.2287036
731,0.22903188
732,0.22906438
733,0.2292772
734,0.22943884
735,0.22967365
736,0.2299015
737,0.23017246
738,0.23041452
739,0.23054278
740,0.2310127
741,0.23102969
742,0.23109217
743,0.23121595
744,0.23153579
745,0.23175386
746,0.23180658
747,0.2320417
748,0.23205803
749,0.23221147
750,0.23241463
751,0.23248169
752,0.23249933
753,0.23262154
754,0.232717
755,0.23278117
756,0.2328594
757,0.23299098
758,0.23302981
759,0.23312311
760,0.23320504
761,0.23325057
762,0.23340589
763,0.23340926
764,0.23358035
765,0.23359022
766,0.23367062
767,0.23367321
768,0.23372155
769,0.23378374
770,0.23379026
771,0.23379558
772,0.23385088
773,0.23387338
774,0.23415463
775,0.23427208
776,0.23441483
777,0.23445286
778,0.23455791
779,0.23459199
780,0.23464483
781,0.23483734
782,0.23484896
783,0.23486893
784,0.23492527
785,0.23504455
786,0.23504634
787,0.23518252
788,0.23519386
789,0.2352201
790,0.23527873
791,0.23528127
792,0.23529083
793,0.23537502
794,0.23546919
795,0.23548423
796,0.23558208
797,0.23564
798,0.2356744
799,0.23569776
800,0.23569994
801,0.23572573
802,0.23573357
803,0.23579194
804,0.23585722
805,0.23586985
806,0.23588479
807,0.23590001
808,0.23591869
809,0.23604327
810,0.23604776
811,0.23607789
812,0.23609239
813,0.23618434
814,0.23621152
815,0.23624164
816,0.23624663
817,0.23633333
818,0.23635876
819,0.23641244
820,0.23655015
821,0.23655751
822,0.2366378
823,0.23674539
824,0.23674887
825,0.23683341
826,0.23683356
827,0.23685777
828,0.23687266
829,0.23687544
830,0.23687658
831,0.23689874
832,0.2369511
833,0.23697172
834,0.2370029
835,0.23700681
836,0.23702253
837,0.23710693
838,0.23723902
839,0.23725083
840,0.23730296
841,0.2373231
842,0.23734453
843,0.23736347
844,0.23746295
845,0.23750952
846,0.23757745
847,0.23757966
848,0.23758556
849,0.23761111
850,0.23762253
851,0.2376324
852,0.23765272
853,0.2377327
854,0.23774123
855,0.23779906
856,0.23782323
857,0.2378646
858,0.23788309
859,0.23795047
860,0.2379733
861,0.23800965
862,0.23804778
863,0.23806308
864,0.23807314
865,0.23813762
866,0.23815389
867,0.23817492
868,0.23818897
869,0.2382069
870,0.23823048
871,0.23828906
872,0.23832706
873,0.23844805
874,0.23846959
875,0.23847485
876,0.23850067
877,0.23853348
878,0.2385811
879,0.23858684
880,0.2385922
881,0.2385984
882,0.23861994
883,0.23863837
884,0.23879312
885,0.23880465
886,0.23892392
887,0.23898458
888,0.23903881
889,0.23909728
890,0.2391107
891,0.23928995
892,0.23929463
893,0.23930767
894,0.23932602
895,0.23936978
896,0.23937947
897,0.2394362
898,0.23945281
899,0.23945385
900,0.23945777
901,0.23949252
902,0.23949566
903,0.23950411
904,0.2395042
905,0.23955901
906,0.23958722
907,0.23963192
908,0.23973498
909,0.23973747
910,0.23977673
911,0.23979165
912,0.23981518
913,0.23984289
914,0.2399347
915,0.23996535
916,0.24000745
917,0.2400293
918,0.2401723
919,0.24018176
920,0.2401891
921,0.24025935
922,0.24026611
923,0.24028088
924,0.24028876
925,0.24032483
926,0.24035038
927,0.2403775
928,0.24039795
929,0.2404305
930,0.2404863
931,0.24050516
932,0.24052319
933,0.24052711
934,0.24062496
935,0.24064702
936,0.24073145
937,0.24073933
938,0.24076559
939,0.24080399
940,0.24081115
941,0.24086538
942,0.24099784
943,0.24100593
944,0.24102014
945,0.24112323
946,0.24113116
947,0.24113184
948,0.24116397
949,0.24117883
950,0.2411856
951,0.24123219
952,0.24125311
953,0.24127647
954,0.24132828
955,0.2413312
956,0.24133477
957,0.24134733
958,0.2413592
959,0.24135984
960,0.24136095
961,0.24138531
962,0.24144496
963,0.24145965
964,0.24146451
965,0.24150229
966,0.24152902
967,0.24156797
968,0.2415742
969,0.24158475
970,0.24162318
971,0.24164164
972,0.2416516
973,0.24165672
974,0.24171783
975,0.24173033
976,0.24177355
977,0.24179174
978,0.24179547
979,0.24180381
980,0.24182044
981,0.24184375
982,0.2418536
983,0.24188748
984,0.2418986
985,0.24190941
986,0.24193133
987,0.24196906
988,0.24197946
989,0.24199167
990,0.24203159
991,0.2420353
992,0.24203862
993,0.24204387
994,0.24210925
995,0.24217027
996,0.24222535
997,0.2422722
998,0.2422882
999,0.24229714
1000,0.24230988
1001,0.2423292
1002,0.24234162
1003,0.2423496
1004,0.24235106
1005,0.2423727
1006,0.24240977
1007,0.24241236
1008,0.24245746
1009,0.24247581
1010,0.24251418
1011,0.242543
1012,0.24256045
1013,0.24257952
1014,0.24260356
1015,0.24263683
1016,0.24264143
1017,0.24264795
1018,0.24266404
1019,0.2426724
1020,0.24268532
1021,0.2427021
1022,0.2427296
