,MAE
396,0.15216064
397,0.15258789
398,0.15316391
399,0.15349579
400,0.1539154
401,0.15424347
402,0.15425491
403,0.1543274
404,0.1543808
405,0.1546669
406,0.15496826
407,0.1552124
408,0.15530396
409,0.15546417
410,0.15552902
411,0.15597534
412,0.15675354
413,0.15700531
414,0.1574707
415,0.1574707
416,0.15753174
417,0.15776443
418,0.15845871
419,0.15887451
420,0.15982056
421,0.16028595
422,0.16030884
423,0.16144562
424,0.16169739
425,0.16276932
426,0.16287994
427,0.16324615
428,0.1633606
429,0.16336441
430,0.16354752
431,0.16365051
432,0.16379166
433,0.16404724
434,0.1648407
435,0.16514587
436,0.16531372
437,0.16533661
438,0.1658783
439,0.16591644
440,0.1659813
441,0.16641235
442,0.16646957
443,0.16670987
444,0.16674042
445,0.1671753
446,0.16732025
447,0.16753006
448,0.16756439
449,0.16786957
450,0.16856384
451,0.1687622
452,0.16948318
453,0.1699639
454,0.17022324
455,0.17028427
456,0.17111969
457,0.17122269
458,0.17162323
459,0.17167282
460,0.17214203
461,0.17233655
462,0.1724205
463,0.17259979
464,0.17518234
465,0.17529297
466,0.17579651
467,0.17582703
468,0.1759224
469,0.17642975
470,0.17652512
471,0.17673492
472,0.1768837
473,0.17728043
474,0.17736053
475,0.17751694
476,0.17766571
477,0.17827988
478,0.17884445
479,0.17933655
480,0.18032074
481,0.18076324
482,0.18088531
483,0.18105698
484,0.18118286
485,0.18149567
486,0.18182755
487,0.1827507
488,0.18282318
489,0.1829567
490,0.18299484
491,0.18336487
492,0.18389511
493,0.18404388
494,0.18410492
495,0.18415833
496,0.18426514
497,0.18427277
498,0.18493271
499,0.18502426
500,0.18557358
501,0.18566132
502,0.18566895
503,0.18583298
504,0.18595123
505,0.18641663
506,0.1864624
507,0.18693161
508,0.18713379
509,0.1876564
510,0.18774033
511,0.18804169
512,0.18815613
513,0.18818665
514,0.1883812
515,0.18857193
516,0.18865204
517,0.18869019
518,0.18900299
519,0.189785
520,0.18984604
521,0.18989944
522,0.19002914
523,0.19091797
524,0.19097137
525,0.19124985
526,0.19129562
527,0.19137955
528,0.19161987
529,0.19174194
530,0.1923027
531,0.19387436
532,0.1939354
533,0.1939621
534,0.19414517
535,0.19490051
536,0.19565582
537,0.19649124
538,0.19657135
539,0.1966629
540,0.19678497
541,0.19683838
542,0.19697568
543,0.19712067
544,0.19727325
545,0.19810486
546,0.19831085
547,0.19871521
548,0.1987381
549,0.1990509
550,0.19916531
551,0.19917297
552,0.19984055
553,0.20004654
554,0.20030594
555,0.2004242
556,0.20057678
557,0.2010231
558,0.20132446
559,0.20132828
560,0.20230865
561,0.20279312
562,0.20285797
563,0.20340729
564,0.20346451
565,0.2034874
566,0.2036171
567,0.20452118
568,0.20495224
569,0.2049942
570,0.20568085
571,0.20581055
572,0.20584103
573,0.20655823
574,0.20690155
575,0.20724487
576,0.20726395
577,0.20742798
578,0.20780945
579,0.20790863
580,0.20809174
581,0.20835495
582,0.20909119
583,0.2094841
584,0.20965576
585,0.21064758
586,0.21065903
587,0.21130371
588,0.21195602
589,0.21253967
590,0.21254349
591,0.21299744
592,0.21411896
593,0.21420288
594,0.21420288
595,0.21596146
596,0.21609879
597,0.21632385
598,0.21635437
599,0.21644592
600,0.2171936
601,0.21780014
602,0.21878052
603,0.21944046
604,0.21944427
605,0.21969986
606,0.22013855
607,0.22032928
608,0.22036743
609,0.22067642
610,0.22094727
611,0.22132874
612,0.22142792
613,0.22159958
614,0.2226944
615,0.22324753
616,0.2241745
617,0.22439957
618,0.22470474
619,0.22473145
620,0.22498322
621,0.22557831
622,0.22568893
623,0.22573853
624,0.22584152
625,0.22603226
626,0.22612
627,0.22614288
628,0.22628021
629,0.22677231
630,0.22701263
631,0.22713852
632,0.22723389
633,0.2273941
634,0.22781372
635,0.22941208
636,0.22946167
637,0.22946548
638,0.22950745
639,0.22968292
640,0.23006436
641,0.23035812
642,0.2304039
643,0.23049164
644,0.23053741
645,0.2306633
646,0.23119736
647,0.23127747
648,0.23135376
649,0.23140717
650,0.23186493
651,0.23209
652,0.23259735
653,0.23273087
654,0.23273468
655,0.23324585
656,0.23386002
657,0.23416138
658,0.234375
659,0.23449707
660,0.23534393
661,0.23582077
662,0.23593903
663,0.23614502
664,0.23616791
665,0.23668289
666,0.23687744
667,0.23712158
668,0.23725891
669,0.23762894
670,0.23812485
671,0.23814392
672,0.23826218
673,0.2388115
674,0.23934934
675,0.23934937
676,0.2401619
677,0.24048615
678,0.24051285
679,0.24097824
680,0.24104309
681,0.24108124
682,0.24146271
683,0.241642
684,0.24164963
685,0.24178696
686,0.24181744
687,0.24191284
688,0.24208069
689,0.24249268
690,0.24279022
691,0.24285886
692,0.24309158
693,0.24309921
694,0.24331665
695,0.24578857
696,0.246521
697,0.24695587
698,0.24745178
699,0.24785614
700,0.2481575
701,0.24830627
702,0.2483902
703,0.24862671
704,0.24943161
705,0.2494812
706,0.24950027
707,0.25288016
708,0.25297165
709,0.25341034
710,0.25344846
711,0.2535286
712,0.253788
713,0.2541046
714,0.25511932
715,0.25514603
716,0.25549316
717,0.25566864
718,0.25587082
719,0.25617218
720,0.25636673
721,0.256485
722,0.25672528
723,0.25687408
724,0.2568817
725,0.25693512
726,0.25745392
727,0.2577057
728,0.25793839
729,0.25842285
730,0.25891113
731,0.25942993
732,0.25946808
733,0.26013184
734,0.26016617
735,0.26016998
736,0.26107788
737,0.26158142
738,0.2616043
739,0.2619362
740,0.2620964
741,0.2622261
742,0.26248932
743,0.2625656
744,0.26355743
745,0.2639084
746,0.26406097
747,0.26470566
748,0.26504135
749,0.2653618
750,0.26585388
751,0.26665115
752,0.2666893
753,0.26677704
754,0.26678467
755,0.26679993
756,0.26779175
757,0.2683525
758,0.26839828
759,0.2684822
760,0.26888654
761,0.27010345
762,0.2703247
763,0.2703972
764,0.27056503
765,0.2712555
766,0.27161026
767,0.2721367
768,0.27215958
769,0.27280807
770,0.2728424
771,0.2730255
772,0.27316284
773,0.2733574
774,0.2735443
775,0.27449036
776,0.2747612
777,0.2755623
778,0.2756958
779,0.27647018
780,0.2765808
781,0.27702713
782,0.27719116
783,0.27723312
784,0.27832037
785,0.27838516
786,0.27875137
787,0.27889252
788,0.27898026
789,0.27910995
790,0.27952194
791,0.27989578
792,0.2803917
793,0.28058624
794,0.2807045
795,0.28084564
796,0.28092957
797,0.28139114
798,0.28160477
799,0.28165054
800,0.2817154
801,0.28209686
802,0.28216553
803,0.282341
804,0.28468704
805,0.2848091
806,0.2854385
807,0.28702545
808,0.2871933
809,0.28809738
810,0.2884369
811,0.2894783
812,0.28961563
813,0.28993988
814,0.2899437
815,0.29026413
816,0.29096985
817,0.2914734
818,0.29154968
819,0.29158783
820,0.291687
821,0.29233932
822,0.29234695
823,0.29354858
824,0.2945671
825,0.29468155
826,0.29497147
827,0.29623792
828,0.29652405
829,0.29787827
830,0.2980423
831,0.2984314
832,0.29856873
833,0.29914856
834,0.29930878
835,0.29953766
836,0.29977798
837,0.30031967
838,0.3012352
839,0.30126953
840,0.3017273
841,0.30179214
842,0.30218887
843,0.30288315
844,0.3029747
845,0.30313873
846,0.30355072
847,0.30387115
848,0.30387115
849,0.30413818
850,0.3049507
851,0.30505753
852,0.30539322
853,0.30548096
854,0.3057747
855,0.30591965
856,0.3062477
857,0.30673933
858,0.30718994
859,0.3084221
860,0.30848312
861,0.3107605
862,0.31092834
863,0.311203
864,0.3112259
865,0.31147385
866,0.31170654
867,0.31311035
868,0.31327057
869,0.3133011
870,0.3136177
871,0.31375122
872,0.31430435
873,0.31513974
874,0.31531143
875,0.31541058
876,0.3156128
877,0.31563568
878,0.31624603
879,0.3165245
880,0.31653973
881,0.31668854
882,0.31694794
883,0.3169937
884,0.31720352
885,0.3176384
886,0.31789398
887,0.31806946
888,0.31903076
889,0.31928253
890,0.31979752
891,0.3198738
892,0.3200531
893,0.32009125
894,0.3202324
895,0.32097244
896,0.32109833
897,0.32174683
898,0.32182693
899,0.32190323
900,0.32255936
901,0.3225708
902,0.32318115
903,0.32320023
904,0.32320786
905,0.32359314
906,0.3236313
907,0.32390973
908,0.3241806
909,0.32471466
910,0.32504654
911,0.32542038
912,0.32573318
913,0.3260498
914,0.3265152
915,0.32658002
916,0.32707977
917,0.32736206
918,0.3279915
919,0.328804
920,0.32894897
921,0.32987213
922,0.3301468
923,0.3302002
924,0.33027267
925,0.33081055
926,0.3309555
927,0.33126068
928,0.33127213
929,0.3315544
930,0.33156586
931,0.33278275
932,0.33281708
933,0.33341596
934,0.3340416
935,0.3343773
936,0.33446503
937,0.33449173
938,0.33452603
939,0.33470154
940,0.3347206
941,0.33476257
942,0.3349228
943,0.33545685
944,0.33626172
945,0.33644867
946,0.33647537
947,0.3367653
948,0.33700562
949,0.33792877
950,0.33830258
951,0.33839417
952,0.33848953
953,0.3397827
954,0.34007645
955,0.34043884
956,0.34077454
957,0.341053
958,0.34144592
959,0.34156036
960,0.34173965
961,0.34183884
962,0.34191132
963,0.34276962
964,0.34317017
965,0.34384155
966,0.34391785
967,0.34439468
968,0.34451294
969,0.3446579
970,0.34542462
971,0.34580994
972,0.34617615
973,0.34622192
974,0.3462677
975,0.34667587
976,0.34775162
977,0.34874725
978,0.34888077
979,0.34922028
980,0.3500023
981,0.35061646
982,0.3518257
983,0.35330963
984,0.3534546
985,0.35349274
986,0.35358047
987,0.35365295
988,0.35394287
989,0.35411835
990,0.35413742
991,0.35424042
992,0.35516357
993,0.35539246
994,0.35639954
995,0.3569336
996,0.35695267
997,0.35760498
998,0.35784912
999,0.35842896
1000,0.35850525
1001,0.35853958
1002,0.35888672
1003,0.35894775
1004,0.35936356
1005,0.3598175
1006,0.3604126
1007,0.36052704
1008,0.3611908
1009,0.36166382
1010,0.36182404
1011,0.36214447
1012,0.36221313
1013,0.36223602
1014,0.36271667
1015,0.36368176
1016,0.363945
1017,0.36453247
1018,0.36458206
1019,0.36499786
1020,0.3653679
1021,0.36614227
1022,0.36621094
1023,0.3666687
1024,0.36698532
1025,0.36699295
1026,0.36742783
1027,0.3675232
1028,0.36835098
1029,0.3685074
1030,0.36862183
1031,0.36877057
1032,0.36889648
1033,0.3689232
1034,0.36893845
1035,0.36961365
1036,0.37072372
1037,0.37086868
1038,0.37098312
1039,0.37101364
1040,0.37149048
1041,0.37233734
1042,0.37338257
1043,0.373867
1044,0.37414932
1045,0.3745346
1046,0.37516785
1047,0.37606812
1048,0.3762436
1049,0.3766365
1050,0.37694168
1051,0.3771134
1052,0.37724304
1053,0.3782158
1054,0.3783493
1055,0.37911987
1056,0.37919617
1057,0.37993622
1058,0.38023376
1059,0.38036346
1060,0.3804016
1061,0.3805657
1062,0.38058472
1063,0.38103867
1064,0.38104627
1065,0.38110352
1066,0.38116837
1067,0.3813362
1068,0.38152695
1069,0.38184357
1070,0.3819008
1071,0.38217926
1072,0.38237
1073,0.38252637
1074,0.38336182
1075,0.38419724
1076,0.3845749
1077,0.38472366
1078,0.3848343
1079,0.38497162
1080,0.38581467
1081,0.38589096
1082,0.3861847
1083,0.38693237
1084,0.38779068
1085,0.38825607
1086,0.38834
1087,0.38858414
1088,0.38881302
1089,0.38891983
1090,0.38904572
1091,0.38920593
1092,0.38934326
1093,0.3896637
1094,0.39004898
1095,0.39007568
1096,0.39015198
1097,0.39059454
1098,0.39082718
1099,0.3908386
1100,0.39107895
1101,0.39112473
1102,0.39137268
1103,0.39170453
1104,0.392025
1105,0.39216232
1106,0.39224243
1107,0.39345548
1108,0.39408493
1109,0.39412305
1110,0.39481354
1111,0.39491272
1112,0.39508057
1113,0.39522552
1114,0.3954773
1115,0.39567947
1116,0.39570236
1117,0.39704895
1118,0.3970871
1119,0.39736938
1120,0.39749146
1121,0.3975029
1122,0.39801025
1123,0.39917755
1124,0.39998627
1125,0.40257645
1126,0.40341568
1127,0.40402603
1128,0.40434647
1129,0.4053497
1130,0.4058075
1131,0.40619278
1132,0.40632248
1133,0.40633774
1134,0.40678024
1135,0.40740967
1136,0.40758133
1137,0.40794373
1138,0.40796277
1139,0.4081726
1140,0.4082718
1141,0.4083748
1142,0.40911484
1143,0.4093628
1144,0.40976334
1145,0.4104309
1146,0.41183472
1147,0.41197586
1148,0.41292953
1149,0.41307068
1150,0.4134903
1151,0.4136467
1152,0.4139557
1153,0.41474915
1154,0.41479108
1155,0.414917
1156,0.41523743
1157,0.41538236
1158,0.41556168
1159,0.41581726
1160,0.41587067
1161,0.4165039
1162,0.41666412
1163,0.41674805
1164,0.41700745
1165,0.4170227
1166,0.41748047
1167,0.41749954
1168,0.4179077
1169,0.41796112
1170,0.41799927
1171,0.41849518
1172,0.41874313
1173,0.41939926
1174,0.41967008
1175,0.41996765
1176,0.42002487
1177,0.4201126
1178,0.4203186
1179,0.42044067
1180,0.4205246
1181,0.4208107
1182,0.42141724
1183,0.42227936
1184,0.42292786
1185,0.42297363
1186,0.42411804
1187,0.4254074
1188,0.42604443
1189,0.4262352
1190,0.4269066
1191,0.42698288
1192,0.42821503
1193,0.4295578
1194,0.4299698
1195,0.43050766
1196,0.43052292
1197,0.43077087
1198,0.43091202
1199,0.43107986
1200,0.4312706
1201,0.43130112
1202,0.43166733
1203,0.43185425
1204,0.43189237
1205,0.4323387
1206,0.4336052
1207,0.43362427
1208,0.4336548
1209,0.43450162
1210,0.43458557
1211,0.43517685
1212,0.43595505
1213,0.43606567
1214,0.43624878
1215,0.43767166
1216,0.43818283
1217,0.43891525
1218,0.43894958
1219,0.43899536
1220,0.43978882
1221,0.4402771
1222,0.4403267
1223,0.4404602
1224,0.44075775
1225,0.4413376
1226,0.44292068
1227,0.44394302
1228,0.4441452
1229,0.44444656
1230,0.4449196
1231,0.4451828
1232,0.44748688
1233,0.44794843
1234,0.448101
1235,0.44825745
1236,0.44836426
1237,0.44961163
1238,0.45005035
1239,0.45072937
1240,0.45080185
1241,0.45080566
1242,0.45084
1243,0.45145035
1244,0.45189667
1245,0.45230865
1246,0.45281607
1247,0.45357513
1248,0.45481873
1249,0.45503998
1250,0.45508575
1251,0.45568466
1252,0.45570755
1253,0.4562912
1254,0.456398
1255,0.45651627
1256,0.4569702
1257,0.45783615
1258,0.4582672
1259,0.45848846
1260,0.45861053
1261,0.45893478
1262,0.45903397
1263,0.45903778
1264,0.45924377
1265,0.45940018
1266,0.45991898
1267,0.46032715
1268,0.46181107
1269,0.46364975
1270,0.46376038
1271,0.464386
1272,0.46470648
1273,0.46500778
1274,0.46503448
1275,0.4661827
1276,0.4661903
1277,0.46648026
1278,0.46660995
1279,0.4669609
1280,0.46787643
1281,0.46793365
1282,0.46831894
1283,0.46837997
1284,0.46849442
1285,0.46875387
1286,0.4688797
1287,0.4698944
1288,0.4699173
1289,0.4700775
1290,0.47045517
1291,0.4706993
1292,0.47105023
1293,0.4710579
1294,0.47128677
1295,0.47135544
1296,0.47142792
1297,0.47184753
1298,0.47332764
1299,0.4734993
1300,0.47418594
1301,0.47426605
1302,0.47499084
1303,0.4760437
1304,0.4777794
1305,0.47793198
1306,0.4779396
1307,0.47800827
1308,0.47825238
1309,0.47844315
1310,0.47906113
1311,0.47944257
1312,0.4797401
1313,0.48020172
1314,0.48057175
1315,0.48077393
1316,0.48104858
1317,0.48106003
1318,0.48117447
1319,0.48139188
1320,0.48155975
1321,0.48162842
1322,0.4816551
1323,0.4817772
1324,0.48187256
1325,0.48188782
1326,0.48197174
1327,0.48210526
1328,0.48228836
1329,0.4832878
1330,0.48394394
1331,0.48444748
1332,0.4845543
1333,0.4852562
1334,0.4854393
1335,0.4857025
1336,0.48572156
1337,0.4861488
1338,0.48690414
1339,0.48718643
1340,0.48728177
1341,0.48869705
1342,0.4888382
1343,0.4889946
1344,0.49011993
1345,0.49012
1346,0.49155045
1347,0.49160004
1348,0.49180603
1349,0.49193573
1350,0.49214554
1351,0.49250793
1352,0.49263
1353,0.49363708
1354,0.49386978
1355,0.49396515
1356,0.4941101
1357,0.49416733
1358,0.4947357
1359,0.49477386
1360,0.49528122
1361,0.4953117
1362,0.4956894
1363,0.49580765
1364,0.49594116
1365,0.4968681
1366,0.49687958
1367,0.49708936
1368,0.49719238
1369,0.49731064
1370,0.4984398
1371,0.4984665
1372,0.4988098
1373,0.4991684
1374,0.4992333
1375,0.4999466
1376,0.50019836
1377,0.5002556
1378,0.50077057
1379,0.5008812
1380,0.50100327
1381,0.5023651
1382,0.50247955
1383,0.50273514
1384,0.50281906
1385,0.50306326
1386,0.50354385
1387,0.5039787
1388,0.5041199
1389,0.504406
1390,0.50509644
1391,0.5051689
1392,0.5051727
1393,0.5053444
1394,0.5054817
1395,0.5056305
1396,0.50611115
1397,0.5061302
1398,0.5061836
1399,0.506382
1400,0.50668716
1401,0.5077286
1402,0.50800323
1403,0.50850683
1404,0.508831
1405,0.50984573
1406,0.5099602
1407,0.51028824
1408,0.51155853
1409,0.5116501
1410,0.511818
1411,0.5123863
1412,0.51309586
1413,0.5135498
1414,0.5138664
1415,0.5139923
1416,0.5140114
1417,0.5142479
1418,0.5150986
1419,0.5152321
1420,0.5155182
1421,0.51556396
1422,0.51586914
1423,0.51587296
1424,0.51750565
1425,0.51761246
1426,0.51794434
1427,0.5183296
1428,0.5188408
1429,0.51940155
1430,0.5194588
1431,0.51950455
1432,0.5201225
1433,0.52015686
1434,0.5201988
1435,0.5203209
1436,0.5205536
1437,0.5205841
1438,0.52111053
1439,0.5213928
1440,0.52182007
1441,0.5219841
1442,0.5220871
1443,0.5221405
1444,0.5224228
1445,0.5228119
1446,0.52290344
1447,0.5231552
1448,0.5231781
1449,0.5233917
1450,0.5234337
1451,0.5234566
1452,0.5240021
1453,0.52438736
1454,0.5248413
1455,0.5250702
1456,0.5250969
1457,0.52514267
1458,0.5252533
1459,0.5252991
1460,0.52545166
1461,0.5255661
1462,0.52606964
1463,0.52638245
1464,0.52648926
1465,0.5269966
1466,0.5270691
1467,0.52732086
1468,0.52760315
1469,0.52817917
1470,0.5290985
1471,0.5292053
1472,0.52985
1473,0.53020096
1474,0.5305176
1475,0.5305748
1476,0.5306854
1477,0.5317993
1478,0.53209686
1479,0.5323715
1480,0.53248596
1481,0.533226
1482,0.5335083
1483,0.53357315
1484,0.5339508
1485,0.5343704
1486,0.5345497
1487,0.5348091
1488,0.5360031
1489,0.53606415
1490,0.5362358
1491,0.5362892
1492,0.53639984
1493,0.5364876
1494,0.5365486
1495,0.53666306
1496,0.53717804
1497,0.5373497
1498,0.53811646
1499,0.53881836
1500,0.53899384
1501,0.53931046
1502,0.53941345
1503,0.53954697
1504,0.53970337
1505,0.5397377
1506,0.5402489
1507,0.5405884
1508,0.5406456
1509,0.54087067
1510,0.5411644
1511,0.5415573
1512,0.54174805
1513,0.5418167
1514,0.54193497
1515,0.5422363
1516,0.5423813
